n	s	0.005727
t	r	0.010995
t	s	0.001947
s	o	0.009163
i	e	0.008590
s	r	0.000229
r	a	0.020158
n	d	0.010423
e	t	0.013973
o	n	0.018898
h	n	0.000229
t	n	0.000458
o	h	0.001031
t	o	0.015004
i	a	0.006414
e	i	0.004581
n	i	0.007903
e	s	0.013515
a	e	0.003092
a	n	0.023938
h	a	0.011339
n	h	0.000687
d	a	0.010766
d	s	0.000573
e	d	0.015920
o	t	0.011797
r	d	0.004009
d	e	0.024167
h	e	0.017295
r	i	0.016035
i	n	0.024052
d	h	0.001947
d	d	0.004925
a	a	0.000916
n	e	0.022678
a	h	0.003551
e	e	0.011110
r	h	0.001374
h	t	0.000115
a	t	0.021074
h	h	0.000229
i	i	0.000687
n	a	0.013744
n	o	0.010652
s	d	0.000229
h	i	0.009277
r	e	0.030237
i	o	0.006414
d	i	0.009735
r	r	0.005498
i	d	0.011453
t	t	0.006414
r	s	0.004581
i	t	0.011453
t	h	0.016722
n	r	0.000458
h	r	0.002291
i	s	0.013744
h	s	0.000229
a	r	0.029206
e	n	0.023594
i	h	0.000687
i	r	0.010194
t	i	0.015119
o	e	0.002978
n	n	0.005612
n	t	0.013859
t	d	0.000115
a	s	0.015577
d	n	0.000458
a	i	0.010423
a	d	0.013744
o	a	0.005727
e	a	0.014317
e	h	0.001603
o	r	0.018440
o	d	0.008246
a	o	0.001718
d	r	0.003092
o	s	0.010537
t	a	0.021876
s	e	0.024052
r	o	0.016035
h	o	0.012713
s	i	0.013057
r	n	0.005612
s	h	0.016607
h	d	0.000229
s	t	0.024739
r	t	0.008476
o	o	0.008819
e	r	0.042950
t	e	0.035506
e	o	0.001603
s	n	0.004009
d	o	0.011110
s	a	0.011683
s	s	0.007445
d	t	0.000229
o	i	0.004810
